Experiment,Litter,Channel,Marker,ab.2
R1_A,A,CH1,DNA,Hoechst
R1_A,A,CH2,BF,NA
R1_A,A,CH3,GFP.ck,af488.ck
R1_A,A,CH4,NANOG.rb,af647.rb
R1_A,A,CH5,GATA6.gt,af568.gt
R1_B,B,CH1,DNA,Hoechst
R1_B,B,CH2,BF,NA
R1_B,B,CH3,GFP.ck,af488.ck
R1_B,B,CH4,NANOG.rb,af647.rb
R1_B,B,CH5,GATA6.gt,af568.gt
R1_C,C,CH1,DNA,Hoechst
R1_C,C,CH2,BF,NA
R1_C,C,CH3,GFP.ck,af488.ck
R1_C,C,CH4,NANOG.rb,af647.rb
R1_C,C,CH5,GATA6.gt,af568.gt
R1_D,D,CH1,DNA,Hoechst
R1_D,D,CH2,BF,NA
R1_D,D,CH3,GFP.ck,af488.ck
R1_D,D,CH4,NANOG.rb,af647.rb
R1_D,D,CH5,GATA6.gt,af568.gt
R1_E,E,CH1,DNA,Hoechst
R1_E,E,CH2,BF,NA
R1_E,E,CH3,GFP.ck,af488.ck
R1_E,E,CH4,NANOG.rb,af647.rb
R1_E,E,CH5,GATA6.gt,af568.gt
R1_I,I,CH1,DNA,Hoechst
R1_I,I,CH2,BF,NA
R1_I,I,CH3,GFP.ck,af488.ck
R1_I,I,CH4,NANOG.rb,af647.rb
R1_I,I,CH5,GATA6.gt,af568.gt
R1_J,J,CH1,DNA,Hoechst
R1_J,J,CH2,BF,NA
R1_J,J,CH3,GFP.ck,af488.ck
R1_J,J,CH4,NANOG.rb,af647.rb
R1_J,J,CH5,GATA6.gt,af568.gt
R2_A,A,CH1,DNA,Hoechst
R2_A,A,CH2,BF,NA
R2_A,A,CH3,GFP.ck,af488.ck
R2_A,A,CH4,NANOG.rb,af647.rb
R2_A,A,CH5,GATA6.gt,af568.gt
R2_B,B,CH1,DNA,Hoechst
R2_B,B,CH2,BF,NA
R2_B,B,CH3,GFP.ck,af488.ck
R2_B,B,CH4,NANOG.rb,af647.rb
R2_B,B,CH5,GATA6.gt,af568.gt
R2_C,C,CH1,DNA,Hoechst
R2_C,C,CH2,BF,NA
R2_C,C,CH3,GFP.ck,af488.ck
R2_C,C,CH4,NANOG.rb,af647.rb
R2_C,C,CH5,GATA6.gt,af568.gt
R2_D,D,CH1,DNA,Hoechst
R2_D,D,CH2,BF,NA
R2_D,D,CH3,GFP.ck,af488.ck
R2_D,D,CH4,NANOG.rb,af647.rb
R2_D,D,CH5,GATA6.gt,af568.gt
R2_E,E,CH1,DNA,Hoechst
R2_E,E,CH2,BF,NA
R2_E,E,CH3,GFP.ck,af488.ck
R2_E,E,CH4,NANOG.rb,af647.rb
R2_E,E,CH5,GATA6.gt,af568.gt
R2_F,F,CH1,DNA,Hoechst
R2_F,F,CH2,BF,NA
R2_F,F,CH3,GFP.ck,af488.ck
R2_F,F,CH4,NANOG.rb,af647.rb
R2_F,F,CH5,GATA6.gt,af568.gt
R2_G,G,CH1,DNA,Hoechst
R2_G,G,CH2,BF,NA
R2_G,G,CH3,GFP.ck,af488.ck
R2_G,G,CH4,NANOG.rb,af647.rb
R2_G,G,CH5,GATA6.gt,af568.gt
R2_J,J,CH1,DNA,Hoechst
R2_J,J,CH2,BF,NA
R2_J,J,CH3,GFP.ck,af488.ck
R2_J,J,CH4,NANOG.rb,af647.rb
R2_J,J,CH5,GATA6.gt,af568.gt
R2_K,K,CH1,DNA,Hoechst
R2_K,K,CH2,BF,NA
R2_K,K,CH3,GFP.ck,af488.ck
R2_K,K,CH4,NANOG.rb,af647.rb
R2_K,K,CH5,GATA6.gt,af568.gt
R2_L,L,CH1,DNA,Hoechst
R2_L,L,CH2,BF,NA
R2_L,L,CH3,GFP.ck,af488.ck
R2_L,L,CH4,NANOG.rb,af647.rb
R2_L,L,CH5,GATA6.gt,af568.gt
R2_M,M,CH1,DNA,Hoechst
R2_M,M,CH2,BF,NA
R2_M,M,CH3,GFP.ck,af488.ck
R2_M,M,CH4,NANOG.rb,af647.rb
R2_M,M,CH5,GATA6.gt,af568.gt
F4_G,G,CH1,DNA,Hoechst
F4_G,G,CH2,BF,NA
F4_G,G,CH3,GFP.ck,af488.ck
F4_G,G,CH4,NANOG.rb,af647.rb
F4_G,G,CH5,GATA6.gt,af568.gt
F4_H,H,CH1,DNA,Hoechst
F4_H,H,CH2,BF,NA
F4_H,H,CH3,GFP.ck,af488.ck
F4_H,H,CH4,NANOG.rb,af647.rb
F4_H,H,CH5,GATA6.gt,af568.gt
F4_I,I,CH1,DNA,Hoechst
F4_I,I,CH2,BF,NA
F4_I,I,CH3,GFP.ck,af488.ck
F4_I,I,CH4,NANOG.rb,af647.rb
F4_I,I,CH5,GATA6.gt,af568.gt
F4_J,J,CH1,DNA,Hoechst
F4_J,J,CH2,BF,NA
F4_J,J,CH3,GFP.ck,af488.ck
F4_J,J,CH4,NANOG.rb,af647.rb
F4_J,J,CH5,GATA6.gt,af568.gt
F4_K,K,CH1,DNA,Hoechst
F4_K,K,CH2,BF,NA
F4_K,K,CH3,GFP.ck,af488.ck
F4_K,K,CH4,NANOG.rb,af647.rb
F4_K,K,CH5,GATA6.gt,af568.gt
F4_L,L,CH1,DNA,Hoechst
F4_L,L,CH2,BF,NA
F4_L,L,CH3,GFP.ck,af488.ck
F4_L,L,CH4,NANOG.rb,af647.rb
F4_L,L,CH5,GATA6.gt,af568.gt
